team.id,team.size,final.performance,time.of.day,females,final.cash,final.contracts,final.reorders,final.rank,interim.performance,interim.cash,interim.contracts,interim.reorders,interim.rank,mean_testo,mean_log_testo,sd_testo,sd_log_testo,mean_cortisol,mean_log_cortisol,sd_cortisol,sd_log_cortisol,diversity_score,team_size,mean_age,proportion_female
62,5,0.816580998,14.25,2,1997127,3,85,2,0.878334295476133,1014035,3,80,2,85.836,4.317590904394824,47.255400008887875,0.5978435760832653,0.132,-2.081316626048042,0.048166378315169185,0.38028705267176066,5,5,26.6,0.4
63,5,-0.297680048,14.25,2,1551577,2,82,6,0.262055217283096,918830,2,84,5,103.312,4.4498317102323615,64.12702449045956,0.7371756209185293,0.138,-2.172620681829732,0.0828854631404084,0.745851167337951,4,5,NA,0.4
64,4,-1.223765755,14.25,2,1157541,2,70,12,-1.20201244778878,653768,1,70,13,55.7475,3.7757174858160374,42.99563417759219,0.8286746612175895,0.08,-2.5418632745926524,0.016329931618554526,0.20937423761103985,4,4,26.75,0.5
65,4,-3.080657316,14.25,2,736739,1,15,13,-1.82668224199401,637633,1,33,14,NA,NA,NA,NA,NA,NA,NA,NA,3,4,26.5,0.5
66,5,-0.676330567,14.25,2,1334750,2,85,10,-0.0784620403443796,756481,2,100,10,110.344,4.377741065408058,77.82087560545692,1.0360503221257786,0.158,-1.960561996956538,0.08786353054595518,0.53027131627552,4,5,NA,0.4
69,6,0.923465669,10.75,2,1927949,3,90,1,0.842059280218733,1000872,3,75,1,102.96666666666665,4.458356883785297,54.46242619151911,0.7385113567912484,0.11166666666666666,-2.341450740855332,0.07194905605125522,0.5899308590440103,5,6,27.666666666666668,0.3333333333333333
70,5,0.400156511,10.75,2,1764170,3,83,5,0.279382950884341,879072,3,75,7,92.436,4.300102143934452,60.38427551937673,0.8110613340957021,0.14400000000000002,-2.195286418891133,0.1335290230624039,0.7443481498991504,5,5,25.8,0.4
71,5,0.811554835,10.75,2,1917826,3,88,2,0.858971989757694,968797,3,84,2,104.342,4.534192694052238,58.01880832971322,0.5232004224104096,0.15,-2.04077155605288,0.09137833441248532,0.5943704514509314,4,5,NA,0.4
72,5,0.647110414,10.75,2,1781380,3,92,4,0.187916633072966,809693,3,85,9,97.206,4.3996123227767905,53.18632841247833,0.7330534932756316,0.108,-2.327697737589114,0.048682645778552344,0.5312889263734609,5,5,28.2,0.4
73,5,-0.118187944,10.75,2,1680494,2,90,7,0.743386559975808,927288,3,85,3,NA,NA,NA,NA,NA,NA,NA,NA,5,5,27.2,0.4
74,6,0.655085942,10.75,2,1825136,3,87,3,0.679215974324135,924265,3,85,4,121.115,4.784947873594136,19.190406717941126,0.1733459899921147,0.11833333333333333,-2.5579979048770407,0.14133883637085268,0.9203301948963187,6,6,27.166666666666668,0.3333333333333333
77,5,0.448398925,10.75,2,1745522,3,90,6,-0.0287500061769801,802537,3,75,10,99.84400000000001,4.425592283144834,52.532319861205444,0.7556135411430519,0.076,-2.632637074384918,0.028809720581775864,0.3704934934631804,4,5,27,0.4
78,4,-1.011867815,10.75,2,1280396,2,80,13,-0.136548384411591,766053,3,80,12,94.16250000000001,4.2211384423853975,75.59520415784766,0.9807972248003383,0.1125,-2.3589967633771276,0.06946221994724902,0.7142490181578384,4,4,27,0.5
79,5,0.436680878,10.75,2,1663551,3,100,8,0.360966281314012,833823,3,90,8,113.642,4.442768527378556,89.15625199614438,0.9176623114208884,0.176,-1.868326853932104,0.08848728722251574,0.6155923707882979,3,5,26.2,0.4
80,5,0.057433023,10.75,2,1618612,3,85,9,-0.339658267371144,707334,2,100,13,103.904,4.476080335224706,63.523722183134076,0.6628389447437105,0.08600000000000001,-2.516590059357286,0.035071355833500364,0.3934177115553594,5,5,27.6,0.4
81,5,-0.676951099,10.75,2,1217942,3,80,14,-2.19779953286221,396109,1,40,15,127.67,4.720277964476319,68.80238840331053,0.58479261742567,0.09,-2.433986719782862,0.022360679774997897,0.25920354603417073,5,5,27.2,0.4
82,5,-0.042088011,10.75,2,1542910,3,90,11,-0.0474561568670262,783618,3,80,11,117.896,4.5198134169911,88.36851973412251,0.815699889269975,0.108,-2.265920881568638,0.03346640106136302,0.32117352384133924,5,5,27.8,0.4
84,6,0.186917412,10.75,2,1424498,3,100,9,0.93906618752657,956619,3,95,3,103.43666666666667,4.467920662570747,56.99153785139217,0.6955504956895912,0.17166666666666666,-1.8187017881449583,0.05913261931173578,0.380882848280094,3,6,28.666666666666668,0.3333333333333333
86,5,-1.032879392,10.75,2,1165005,2,80,12,-0.986163981233807,644439,1,90,14,91.95,4.45492774421289,41.28778088006183,0.3876836326498917,0.19,-1.71651708203666,0.06819090848492927,0.38413088656970934,5,5,NA,0.4
87,5,0.049958565,10.75,2,1642144,3,80,8,-0.252832813469383,698200,3,80,12,84.696,4.298283186846314,42.016669668121004,0.6505732344782045,0.23399999999999999,-1.5392150097624848,0.10968135666557009,0.4700181906043311,5,5,27.6,0.4
88,6,-0.116561232,10.75,2,1251500,3,98,11,0.595895104812732,834184,3,98,6,116.08500000000001,4.536567769661445,70.72021061903027,0.7852674643695413,0.19166666666666668,-1.70009184894564,0.066758270399005,0.33484929884862547,5,6,27.5,0.3333333333333333
91,5,-0.599160141,10.75,2,1314563,2,90,10,-0.157058436565912,761048,2,90,9,105.846,4.594564896628108,45.522903905616566,0.40241687477689136,0.188,-1.842484507636104,0.1070980858839223,0.6952895748187318,5,5,27.8,0.4
92,5,-2.864853421,10.75,2,776820,1,25,13,-1.27898389839828,651358,2,42,13,98.364,4.397434834838528,63.76538230105737,0.7088984829578191,0.22,-1.8012579879437338,0.15874507866387544,0.9185542793597496,4,5,NA,0.4
93,5,0.577617749,10.75,2,1763136,3,89,4,0.124091405121549,788458,3,75,7,94.524,4.241363014434522,68.18708404089443,0.9697557674843793,0.254,-1.7806017250202792,0.2663268668384772,1.005760922765865,4,5,27.2,0.4
94,5,0.879964678,10.75,2,1910412,3,92,2,0.971251071792588,966433,3,92,2,140.846,4.743596766892268,96.47969335564868,0.73783425102509,0.356,-1.406272246996264,0.3470302580467588,0.9985517286533153,4,5,NA,0.4
95,6,0.155119962,10.75,2,1643432,3,82,7,-0.588524064312004,738781,1,90,10,132.55,4.595024659365267,88.1247815316441,0.9413672294028311,0.33666666666666667,-1.1951340616482895,0.1657307052620807,0.5159578573188472,5,6,27.5,0.3333333333333333
96,5,0.509215584,10.75,2,1737244,3,90,5,-9.71682799893556e-4,775280,2,95,8,88.312,4.367916139234392,46.59894494513797,0.5363362822908793,0.22,-1.7978211683367262,0.2016184515365595,0.8188945594905818,5,5,27.4,0.4
97,5,0.91318502,10.75,2,2011454,3,86,1,1.07792684528161,1062138,3,84,1,75.75,4.223181304775152,38.15272008651546,0.515230003424484,0.19,-1.753631536186572,0.09669539802906857,0.47142592193163496,5,5,NA,0.4
99,5,0.821215526,9,2,1978953,3,86,2,1.09243034656671,1036661,3,88,1,109.676,4.60763621234553,52.43053623605237,0.4768999262682148,0.35,-1.1212861487744674,0.1298075498574717,0.4511323929103996,4,5,25.8,0.4
101,5,-2.354366264,9,2,839032,1,50,13,-1.6435699225433,600236,1,50,14,105.334,4.613116679501024,35.660437882897625,0.3302388777654946,0.412,-1.0312852636829852,0.1903155274800246,0.6874931524722718,5,5,28,0.4
102,5,0.749663175,9,2,1973178,3,86,3,0.891834670299729,1005905,3,90,4,132.872,4.781021282130564,56.86139041564144,0.5759674351123716,0.46,-0.9119613678073167,0.2800892714832184,0.5716309620031241,5,5,26.4,0.4
105,5,0.546476144,9,2,1786018,3,90,5,-0.0650798620711958,789342,3,70,9,123.356,4.740648324065046,49.38186185230362,0.4464680649469269,0.334,-1.1871166786123177,0.13758633653092156,0.5151823143440462,4,5,27.4,0.4
106,5,-0.403375298,9,2,1261807,2,110,12,0.0461832149666596,853224,2,85,7,110.184,4.5481165678396245,64.85371947698914,0.6358395944677389,0.416,-1.1187361731527328,0.3001333037168651,0.8043607607910437,4,5,26.8,0.4
107,5,0.109179347,9,2,1631777,3,80,7,0.330911898569159,816286,3,90,8,138.28,4.847933489677796,57.11244522868899,0.46912566304790615,0.28200000000000003,-1.4172173134992285,0.13065221008463654,0.7126622999424669,5,5,NA,0.4
108,5,-0.097211537,9,2,1494994,3,89,11,-0.962253211393027,640940,1,88,13,143.504,4.796930351081378,80.64902466862199,0.70134435875768,0.384,-1.0907959710498665,0.20911719202399404,0.593362159033404,4,5,27,0.4
109,5,-0.045259215,9,2,1605391,3,80,9,-0.244930812167552,736191,2,95,11,126.672,4.622898508150298,90.05888945573336,0.7549819372307143,0.438,-0.9922505011126692,0.28278967449325304,0.6463250251434901,3,5,NA,0.4
110,5,-0.364074484,9,2,1616200,2,83,8,0.784064935790606,1035874,3,75,3,115.252,4.733955993084554,19.927160359669912,0.1859205655332068,0.26,-1.424386232062818,0.11467344941179715,0.44295979052191087,5,5,NA,0.4
111,6,0.638171564,9,2,1890882,3,87,4,0.65417020320028,885158,3,96,6,112.32,4.601387391072134,51.82312649773265,0.5855115786781755,0.43666666666666665,-1.1207390369758485,0.3449444399706519,0.860279855685044,5,6,28,0.3333333333333333
